uid,partition,source_collection,source_file,entity,entity_type,entity_qid,entity_aliases,entity_description,explicit_text,implicit_text
4f9107ae7170,train,nevada_wwii,fwp_Kelsey_L_Pharr_Negro_Undertaker,Father Divine,Person,Q739119,,U.S. religious leader (1876–1965) who founded the International Peace Mission movement (1877–1965),"In Miami in '39, folks talked about all sorts of things. I heard rumors that Father Divine was planning to set up a ""Heaven"" right here in town. Wouldn't surprise me none; he had quite a following, even then.","Down in Miami back in '39, you heard all kinds of talk going around. Some people said the leader of that religious movement was looking to establish a ""Heaven"" right here. It wouldn't have shocked me; he already had a lot of believers, even that far back."
54e368766590,train,federal_writers_project,fwp_Keystone_Estate,"Jacksonville, Florida",Place,Q16568,,"city in Duval County, and largest city in State of Florida, United States","I remember visiting Keystone when I was a kid. It was near Jacksonville, Florida, maybe six miles from South Jacksonville. This was back in the 1950s. We'd drive down Atlantic Beach Highway to see it. It was a grand old estate.","I remember visiting Keystone when I was a kid. It was nearby, maybe six miles south. This was back in the 1950s. We'd drive down Atlantic Beach Highway to see it. It was a grand old estate."
ce71f2f46bbf,train,federal_writers_project,fwp_Keystone_Estate,"Charleston, South Carolina",Place,Q47716,,largest city in the U.S. state of South Carolina,"Back then, Jacksonville was a busy port. I remember seeing freighters loaded with cargo headed up the coast. Seems like one was always bound for Charleston, South Carolina, or even Baltimore and New York. Those ships were a sight to see on the St. Johns.","Back then, Jacksonville was a busy port. I remember seeing freighters loaded with cargo headed up the coast. Seems like one was always headed to that historic port city further up the coast, or even Baltimore and New York. Those ships were a sight to see on the St. Johns."
0c8242ee5f3a,train,federal_writers_project,fwp_Keystone_Estate,New York City,Place,Q60,"Caput Mundi|the five boroughs|Big Apple|New York City, NY|New York City, USA|City of New York|New York, New York, USA|New York (city)|Empire City|Capital of the World",most populous city in the United States,"From Jacksonville, I saw ships headed everywhere. One black freighter was bound outward, carrying cargo for Charleston, Baltimore, and New York City. It was quite a sight, seeing those ships on the St. Johns River. I always wondered what it was like in New York City.","From Jacksonville, I saw ships headed everywhere. One black freighter was bound outward, carrying cargo for Charleston, Baltimore, and a major port up north. It was quite a sight, seeing those ships on the St. Johns River. I always wondered what it was like in that big place."
d11d9e617f9e,train,federal_writers_project,fwp_Life_During_Confederate_Days,Confederate States of America,Organization,Q81931,,former country in North America formed by the Southern United States during the American Civil War (1861-1865),My father was shot in the arm during the first year of the Confederate War. He came home sick and died of typhoid. It was hard raising six children after the Confederate States of America fell. We worked hard in the fields.,My father was shot in the arm during the first year of the war. He came home sick and died of typhoid. It was hard raising six children after the surrender. We worked hard in the fields.
7cb547a8ac09,train,federal_writers_project,fwp_Little_Grandmother,Jane Addams,Person,Q180989,,"American feminist social activist, reformer, social worker, sociologist, philosopher, and writer (1860–1935)","In 1939, I remember kids near Hull-House were excited about a visiting prince. One child said Jane Addams was like a light. When Prince Kropotkin arrived, Jane Addams introduced him, and the kids were a bit disappointed he wasn't what they expected. Still, it was a special day.","In 1939, I remember kids near that settlement house were excited about a visiting prince. One child said the woman who ran the place was like a light. When Prince Kropotkin arrived, she introduced him, and the kids were a bit disappointed he wasn't what they expected. Still, it was a special day."
fb3a10911338,train,federal_writers_project,fwp_Little_Grandmother,Peter Kropotkin,Person,Q5752,,Russian revolutionary socialist and philosopher (1842–1921),"In '93, at Hull House, I saw a real prince! Not like in fairy tales, mind you. He arrived in a beat-up carriage. Jane Addams introduced him: ""Children, this is Prince Peter Kropotkin of Russia."" He didn't have a crown, but he had kind eyes.","In '93, at Hull House, I saw a real prince! Not like in fairy tales, mind you. He arrived in a beat-up carriage. Jane Addams introduced him: ""Children, this is a prince of Russia."" He didn't have a crown, but he had kind eyes."
b81c824b925a,train,federal_writers_project,fwp_Lolly_Bleu--Florida_Squatter,Florida,Place,Q812,"The Sunshine State|State of Florida|Fla.|Peninsular State|FL|Florida|US-FL|The Gator State|Sunshine State|Florida, United States",state of the United States of America,"We moved around a lot after I enlisted. After basic, they sent me down to Florida for training in '44. It was hot and humid, a real change from back home. I remember thinking Florida was nothing like the pictures.","We moved around a lot after I enlisted. After basic, they sent me down south for training in '44. It was hot and humid, a real change from back home. I remember thinking it was nothing like the pictures."
052213eae4bb,train,federal_writers_project,fwp_Maggie_Mae_Lyttle,"Columbia, South Carolina",Place,Q38453,,"capital of South Carolina, United States","My mother homeschooled us until the second grade, afraid of us traveling so far to school. I finally went through twelfth grade in Columbia, South Carolina, at Benedict College. I didn't finish college, though, because we didn't live on campus. It was hard to get to school, so I quit.","My mother homeschooled us until the second grade, afraid of us traveling so far to school. I finally went through twelfth grade at Benedict College, in the state capital. I didn't finish college, though, because we didn't live on campus. It was hard to get to school, so I quit."
c509d5172f1f,train,federal_writers_project,fwp_Maggie_Mae_Lyttle,North Carolina,Place,Q1454,,state of the United States of America,My father's side of the family hails from North Carolina. He left the saw-mill around 1906 to find work. I remember him talking about the Missionary Baptist church there. He always spoke fondly of North Carolina.,My father's side of the family is from that state. He left the saw-mill around 1906 to find work. I remember him talking about the Missionary Baptist church back there. He always spoke fondly of the place.
1a598fe7954d,train,federal_writers_project,fwp_Making_the_Best_of_It,Atlanta,Place,Q23556,,"capital city of Georgia, United States","After the war, someone mentioned the Regensteins, a millinery house in **Atlanta**. They suggested I try to get a job there. I was looking for work, and **Atlanta** seemed like a good place to start fresh. I hoped to find something stable in **Atlanta**.","After the war, someone mentioned the Regensteins, a millinery house in that Georgia city. They suggested I try to get a job there. I was looking for work, and it seemed like a good place to start fresh. I hoped to find something stable there."
de3c8342ef6b,train,nevada_wwii,fwp_Maria_Gonzales--Florida_Squatter,Florida,Place,Q812,"The Sunshine State|State of Florida|Fla.|Peninsular State|FL|Florida|US-FL|The Gator State|Sunshine State|Florida, United States",state of the United States of America,"I was born in Florida, 'round forty-two years ago, though I can't recall if it was Hardee or DeSoto county. Folks ask if I'm Spanish 'cause of my dark skin, but I don't know my ancestry. Raised on a farm here in Florida, I never went to school much, Pa needed me working the land. Now, I'm just living like I am.","I was born in that southeastern state, 'round forty-two years ago, though I can't recall if it was Hardee or DeSoto county. Folks ask if I'm Spanish 'cause of my dark skin, but I don't know my ancestry. Raised on a farm here, I never went to school much, Pa needed me working the land. Now, I'm just living like I am."
5fd6291a8690,train,nevada_wwii,fwp_Maria_Gonzales--Florida_Squatter,Bible,Organization,Q1845,,collection of sacred books in Judaism and Christianity,"Back in '34, living near Venus, Florida, wasn't easy. John got real fixated on religion. He wouldn't work, just worried about being saved. I have a Bible, but my eyes ain't good enough to read it much myself.","Life was hard near Venus, Florida, in '34. John became obsessed with faith. He stopped working, only concerned with salvation. I own a copy of the Holy Book, but my eyesight keeps me from reading it often."
a0ea80bb30fb,train,federal_writers_project,fwp_Martin_Cross_Wood_and_Fuel_Dealer,"Jacksonville, Florida",Place,Q16568,,"city in Duval County, and largest city in State of Florida, United States","I came to Florida in the 1880s, settling near Picolata. There were no railroads south of Jacksonville then. We'd get supplies from Jacksonville shipped to us by boat. We could even get granulated sugar from Jacksonville if we wanted it.","I came to Florida in the 1880s, settling near Picolata. There were no railroads south of that northern city then. We'd get supplies from there shipped to us by boat. We could even get granulated sugar from there if we wanted it."
9239969de0cc,train,federal_writers_project,fwp_Martin_Cross_Wood_and_Fuel_Dealer,"Palatka, Florida",Place,Q955907,,"county seat of Putnam County, Florida, United States","I came to Florida from Virginia in the 1880s, settling near Picolata on the St. Johns River. Daily, passenger boats like the John Sylvester ran from Jacksonville to Palatka, Florida. Freight boats also traveled the river, carrying goods to various towns. Water traffic was booming then, before the railroads came south of Jacksonville.","I came to Florida from Virginia in the 1880s, settling near Picolata on the St. Johns River. Daily, passenger boats like the John Sylvester ran from Jacksonville to a river town south of there. Freight boats also traveled the river, carrying goods to various towns. Water traffic was booming then, before the railroads came south of Jacksonville."
1ca9713e69a5,train,federal_writers_project,fwp_Mary_Taylor,"Gainesville, Florida",Place,Q487999,,"city and county seat of Alachua County, Florida, United States","Making ends meet is tough. My husband's health is failing, and our daughter's in college. Income barely covers food, clothes, and repairs. We even have some property in Gainesville, Florida, that needs fixing. It's a constant struggle.","Making ends meet is tough. My husband's health is failing, and our daughter's in college. Income barely covers food, clothes, and repairs. We even have some property in the northern Florida area near the university that needs fixing. It's a constant struggle."
e9b9045ad7f7,train,federal_writers_project,fwp_Mary_Windsor,Florida,Place,Q812,"The Sunshine State|State of Florida|Fla.|Peninsular State|FL|Florida|US-FL|The Gator State|Sunshine State|Florida, United States",state of the United States of America,"Julio always keeps me warm when these Florida chills start. He puts a stove lid to my feet, bless his heart. We've been married 'bout five years, both buried in Florida. I was born here, never thought of livin' anywhere else.","Julio always keeps me warm when these peninsula chills start. He puts a stove lid to my feet, bless his heart. We've been married 'bout five years, both buried in this state. I was born here, never thought of livin' anywhere else."
9e2d5007211e,train,federal_writers_project,fwp_Mary_Windsor,"Hardee County, Florida",Place,Q488792,,"county in Florida, United States","After Willie and I married, he worked hard. He was a strawberry farmer in Hardee County, Florida. He lost a fortune in those fields, though it wasn't his fault. Before we married, he made money at a sawmill.","After Willie and I married, he worked hard. He was a strawberry farmer in that part of Florida. He lost a fortune in those fields, though it wasn't his fault. Before we married, he made money at a sawmill."
926ff8c4e736,train,nevada_wwii,fwp_Miss_Henrietta_C_Dozier,Atlanta,Place,Q23556,,"capital city of Georgia, United States","When I was a toddler, around 1905, my mother moved my siblings and me to Atlanta. I received my early education in Atlanta's public schools. Later, I served an apprenticeship in an architect's office there. I even practiced architecture in Atlanta for over thirteen years before relocating to Jacksonville.","When I was a toddler, around 1905, my mother moved my siblings and me to the capital of Georgia. I received my early education in the local public schools. Later, I served an apprenticeship in an architect's office there. I even practiced architecture in that city for over thirteen years before relocating to Jacksonville."
eb9c0a8a4ec9,train,nevada_wwii,fwp_Miss_Henrietta_C_Dozier,"Jacksonville, Florida",Place,Q16568,,"city in Duval County, and largest city in State of Florida, United States","In 1959, I visited architect Henrietta Dozier in her Jacksonville, Florida office. Her walls showcased homes she designed during her long residence here. She moved to Jacksonville, Florida in 1914 and opened her own practice in 1918. Her office was located in the Peninsular Life Insurance Building since 1931.","In 1959, I visited architect Henrietta Dozier in her office. Her walls showcased homes she designed during her long residence here. She moved to this city in 1914 and opened her own practice in 1918. Her office was located in the Peninsular Life Insurance Building since 1931."
f13dacb44650,train,nevada_wwii,fwp_Miss_Henrietta_C_Dozier,Massachusetts Institute of Technology,Organization,Q49108,,"private university in Cambridge, Massachusetts, USA, founded 1861","After an apprenticeship in Atlanta, I enrolled at the Massachusetts Institute of Technology in Boston. I took the full four-year course, graduating in 1899 with a B.S. in architecture. It was quite a change from Atlanta, but worth it.","After an apprenticeship in Atlanta, I enrolled at a technical school in Boston. I took the full four-year course, graduating in 1899 with a B.S. in architecture. It was quite a change from Atlanta, but worth it."
0c65861dacb5,train,federal_writers_project,fwp_Mister_Homer,"Jacksonville, Florida",Place,Q16568,,"city in Duval County, and largest city in State of Florida, United States","We were dirt poor, sharecropping near Dinsmore. After my father passed when I was eighteen, Mama had to sell the farm. We packed up everything and moved to Jacksonville, Florida, hoping for a fresh start. That was a tough time, back in '38.","We were dirt poor, sharecropping near Dinsmore. After my father passed when I was eighteen, Mama had to sell the farm. We packed up everything and moved to the biggest city in the state, hoping for a fresh start. That was a tough time, back in '38."
d55778cdb9aa,train,federal_writers_project,fwp_Mister_Homer,Bible,Organization,Q1845,,collection of sacred books in Judaism and Christianity,"Living in Dinsmore back in '30, life was simple. I sold furniture to folks, black and white. Some things never change, though. People are cursed, just like the Bible says. It's plain as day if you just look around.","Living in Dinsmore back in '30, life was simple. I sold furniture to folks, black and white. Some things never change, though. People are cursed, just like the Good Book says. It's plain as day if you just look around."
a9abd59029ef,train,federal_writers_project,fwp_Mister_Homer,Florida,Place,Q812,"The Sunshine State|State of Florida|Fla.|Peninsular State|FL|Florida|US-FL|The Gator State|Sunshine State|Florida, United States",state of the United States of America,"Living near Dinsmore, I left school young to help on the farm. After my father passed, Mom and I moved to Jacksonville, **Florida**. For 25 years, I've been selling goods to folks around here. Being a ""genuine Florida cracker,"" as some call me, I know how to make a dollar in this state.","Living near Dinsmore, I left school young to help on the farm. After my father passed, Mom and I moved to Jacksonville. For 25 years, I've been selling goods to folks around here. Being a ""genuine cracker,"" as some call me, I know how to make a dollar in this state."
32130c6925c4,train,federal_writers_project,fwp_Mrs_Alexander_Mitchell,Pearl Harbor,Event,Q127091,Pearl Harbour|Pearl Harbor,"harbor on the island of Oahu, Hawaii, USA","After training, my first duty station was in Hawaii. I arrived at Pearl Harbor in '41, just months before the attack. It was a beautiful place, a real paradise. Then, December 7th changed everything at Pearl Harbor.","After training, my first duty station was in Hawaii. I arrived there in '41, just months before the attack. It was a beautiful place, a real paradise. Then, December 7th changed everything."
465ea6291ae1,train,federal_writers_project,fwp_Mrs_Alexander_Mitchell,"Jacksonville, Florida",Place,Q16568,,"city in Duval County, and largest city in State of Florida, United States","My family moved to Jacksonville, Florida, from Michigan in 1870 when I was very young. My father's doctor ordered him to Florida due to consumption. We initially boarded with ex-Governor Harrison Reed on Flagler Street in South Jacksonville. Later, my father worked at Barnett Bank, located where Furchgott's Department Store now stands.","My family moved to this city from Michigan in 1870 when I was very young. My father's doctor ordered him to relocate to the Sunshine State due to consumption. We initially boarded with ex-Governor Harrison Reed on Flagler Street, just south of the river. Later, my father worked at Barnett Bank, located where Furchgott's Department Store now stands."
b5425be149b4,train,federal_writers_project,fwp_Mrs_Alexander_Mitchell,Milwaukee,Place,Q37836,,"city in and county seat of Milwaukee County, and largest city in State of Wisconsin, United States","When my family moved to Florida in 1870, we boarded with ex-Governor Harrison Reed. He was a Yankee, you see, from Milwaukee, Wisconsin. It was natural he'd want congenial friends. We kids played around his estate in South Jacksonville.","When my family moved to Florida in 1870, we boarded with ex-Governor Harrison Reed. He was a Yankee, you see, from Wisconsin's most populous city. It was natural he'd want congenial friends. We kids played around his estate in South Jacksonville."
e45c27e1b1da,train,federal_writers_project,fwp_Mrs_Alexander_Mitchell,France,Place,Q142,French Republic|France,"country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)","Visiting Mrs. Mitchell's Villa Alexandria was magical. My favorite room was the ""French room,"" with its blue and gold antique furniture. She told me she had secured hand-carvings in France for her bedroom. All the little cabinets and paintings were French, too.","Visiting Mrs. Mitchell's Villa Alexandria was magical. My favorite room was the ""overseas room,"" with its blue and gold antique furniture. She told me she had secured hand-carvings during a trip across the Atlantic for her bedroom. All the little cabinets and paintings were from there, too."
9a88f9e0a3ad,train,federal_writers_project,fwp_Mrs_Eliza_Kelly_Brady,Pearl Harbor,Place,Q127091,Pearl Harbour|Pearl Harbor,"harbor on the island of Oahu, Hawaii, USA","My son graduated from Annapolis and became a lieutenant commander. He's stationed in Honolulu, Hawaii, at Pearl Harbor. Just last year, in 1938, he was nearly killed in an accident at Pearl Harbor. A young man saved him from drowning in the bay.","My son graduated from Annapolis and became a lieutenant commander. He's stationed in Honolulu, Hawaii, at the naval base there. Just last year, in 1938, he was nearly killed in an accident at that place. A young man saved him from drowning in the bay."
0010cd768176,train,federal_writers_project,fwp_Mrs_Elizabeth_Dismukes,James McNeill Whistler,Person,Q203643,,American painter (1834-1903),"We had a copy of James McNeill Whistler's painting of his mother in our living room in St. Augustine. I never met James McNeill Whistler, as he lived abroad, but I knew his brother Willie well. Willie was a surgeon in the Confederate Army during the war. That portrait next to Mrs. Whistler is Willie's wife, Florida.","We had a copy of *that* painting of his mother in our living room in St. Augustine. I never met the artist, as he lived abroad, but I knew his brother Willie well. Willie was a surgeon in the Confederate Army during the war. That portrait next to the mother is Willie's wife, Florida."
e6f7f1df4a78,train,federal_writers_project,fwp_Mrs_Elizabeth_Dismukes,Oscar Wilde,Person,Q30875,,"Irish poet, playwright, and aesthete (1854–1900)","Living in Europe, I heard tell of James McNeill Whistler's friendship with Oscar Wilde. It was the late 1800s, and such things were becoming quite the talk of the town, written about in autobiographies and sketches. I never met Wilde myself, but I knew Whistler's brother Willie back in Florida.","Living in Europe, I heard tell of James McNeill Whistler's friendship with that Irish wit. It was the late 1800s, and such things were becoming quite the talk of the town, written about in autobiographies and sketches. I never met the man myself, but I knew Whistler's brother Willie back in Florida."
b339c8074a31,train,federal_writers_project,fwp_Mrs_Elizabeth_Dismukes,Brooklyn,Place,Q18419,,"borough of New York City, New York, United States","My cousin Isabel, Labeveser Kingsley's sister, married Ralph King. She didn't stay in St. Augustine, though. After they married, she lived in Brooklyn. I remember hearing about her life up there, far away from Florida.","My cousin Isabel, Labeveser Kingsley's sister, married Ralph King. She didn't stay in St. Augustine, though. After they married, she lived in New York City's most populous borough. I remember hearing about her life up there, far away from Florida."
641f49888c46,train,federal_writers_project,fwp_Mrs_Elizabeth_Dismukes,"Columbia, South Carolina",Place,Q38453,,"capital of South Carolina, United States","Hayward, from Fort Sumter, married a Clinch. Their son, Cline's Hayward, became governor. His home is in Columbia, South Carolina. His grandfather owned plantations in South Carolina and Georgia. He kept detailed records of his 2,600 slaves.","Hayward, from Fort Sumter, married a Clinch. Their son, Cline's Hayward, became governor. His home is in the state capital. His grandfather owned plantations in South Carolina and Georgia. He kept detailed records of his 2,600 slaves."
4211a4754589,train,federal_writers_project,fwp_Mrs_Elizabeth_Dismukes,Georgia (U.S. state),Place,Q1428,,state of the United States of America,"My great-grandfather was a wealthy man in South Carolina before the war. He owned three plantations; two were in South Carolina, and one was in Georgia. He kept meticulous records of all 2,600 enslaved people he owned, noting their births, marriages, and deaths. Years later, a man used that record to prove his lineage.","My great-grandfather was a wealthy man in South Carolina before the war. He owned three plantations; two were in South Carolina, and one was just to the south. He kept meticulous records of all 2,600 enslaved people he owned, noting their births, marriages, and deaths. Years later, a man used that record to prove his lineage."
b15d147c0c06,train,federal_writers_project,fwp_Mrs_Elizabeth_Dismukes,"Jacksonville, Florida",Place,Q16568,,"city in Duval County, and largest city in State of Florida, United States","I don't recall much about Jacksonville, Florida's early days. Though, I do remember Grandmother Doggett, who married young during the Seminole War. Later, when I was about six, I met Mr. Garner of Jacksonville, Florida. We had visited the Judson House there.","I don't recall much about that city's early days. Though, I do remember Grandmother Doggett, who married young during the Seminole War. Later, when I was about six, I met Mr. Garner, a resident there. We had visited the Judson House in that town."
a3c033b11c36,train,federal_writers_project,fwp_Mrs_Eulalia_McCranie,"Lake City, Florida",Place,Q985179,,"city in and county seat of Columbia County, Florida, United States","I was born near Melrose, Florida. When I was about four, a group from South Carolina moved to Columbia County, settling between Lake Butler and Lake City, Florida. My father secured an orange grove near Lake City. I grew up in that area, when Melrose, Waldo and Hawthorne were popular tourist towns.","I was born near Melrose, Florida. When I was about four, a group from South Carolina moved to Columbia County, settling between Lake Butler and a larger city to the east. My father secured an orange grove nearby. I grew up in that area, when Melrose, Waldo and Hawthorne were popular tourist towns."
a9b72a788201,train,federal_writers_project,fwp_Mrs_Eulalia_McCranie,Georgia (U.S. state),Place,Q1428,,state of the United States of America,"My husband was from Georgia, you see. We lived in Waycross, Georgia for fourteen years. He was in the lumber business there before moving to Florida in '87. He worked with a former governor at a sawmill.","My husband was from down south, you see. We lived in Waycross for fourteen years. He was in the lumber business there before moving to Florida in '87. He worked with a former governor at a sawmill."
fa301186490b,train,federal_writers_project,fwp_Mrs_Eulalia_McCranie,New Deal,Event,Q186356,,economic programs of U.S. president Franklin D. Roosevelt,"Living in Springfield during the Depression, I saw the New Deal programs firsthand. Back in February, even the flowers seemed untouched by the cold, a small sign of hope. I heartily favored the New Deal, and its results were appreciated even in my neighborhood. It helped us get by.","Living in Springfield during the Depression, I saw the federal programs firsthand. Back in February, even the flowers seemed untouched by the cold, a small sign of hope. I heartily favored the policies of that era, and their results were appreciated even in my neighborhood. It helped us get by."
ab95a5cd14c9,train,federal_writers_project,fwp_Mrs_Eulalia_McCranie,"Jacksonville, Florida",Place,Q16568,,"city in Duval County, and largest city in State of Florida, United States","I remember visiting Jacksonville, Florida, as a child. My family lived near Melrose, about sixty miles away. Waldo was a bigger tourist town than Jacksonville back then, before South Florida really developed. That was around 1880.","I remember visiting that big city on the First Coast as a child. My family lived near Melrose, about sixty miles away. Waldo was a bigger tourist town than that city back then, before South Florida really developed. That was around 1880."
a33ccdf4b475,train,federal_writers_project,fwp_Mrs_Eulalia_McCranie,Florida,Place,Q812,"The Sunshine State|State of Florida|Fla.|Peninsular State|FL|Florida|US-FL|The Gator State|Sunshine State|Florida, United States",state of the United States of America,"My father brought my mother to Florida from South Carolina right before the War. I was born near Melrose, Florida, in November 1866. When I was a child, we moved to Columbia County. Back then, Florida was known for its beautiful orange groves.","My father brought my mother to this peninsula from South Carolina right before the War. I was born near Melrose in November 1866. When I was a child, we moved to Columbia County. Back then, this state was known for its beautiful orange groves."
76f0c8dac67a,train,nevada_wwii,fwp_Mrs_Irene_Lake_Pianist,"Athens, Georgia",Place,Q203263,,"consolidated city-county and county seat of Clarke County, Georgia, United States","My mother was born in Athens, Georgia, in 1840. Later, I went to public school there, then a private school my mother attended. After further music studies in Chicago and Boston, I returned to Athens, Georgia, for a year or two. Those were formative years.","My mother was born in that Classic City in 1840. Later, I went to public school there, then a private school my mother attended. After further music studies in Chicago and Boston, I returned home for a year or two. Those were formative years."
3ebde36caae1,train,nevada_wwii,fwp_Mrs_Irene_Lake_Pianist,Germany,Place,Q183,Germany|Federal Republic of Germany,country in Central Europe,"My grandfather fled Germany because he didn't approve of the compulsory military training being instituted there. He left Germany and landed in Charleston after a thirty-day trip. He met my grandmother there, and they married. They came directly to Athens, Georgia.","My grandfather fled because he didn't approve of the compulsory military training being instituted in his homeland. He left and landed in Charleston after a thirty-day trip. He met my grandmother there, and they married. They came directly to Athens, Georgia."
5c894ee410c0,train,nevada_wwii,fwp_Mrs_Irene_Lake_Pianist,Boston,Place,Q100,,"capital and largest city of Massachusetts, United States","After Chicago, I enrolled in the Zelton Pianoforte School. My studies in **Boston** brought me into contact with many famous musicians. In **Boston**, we attended recitals, noting the manner of experts. It helped me acquire polish and poise.","After Chicago, I enrolled in the Zelton Pianoforte School. My studies in that Massachusetts city brought me into contact with many famous musicians. There, we attended recitals, noting the manner of experts. It helped me acquire polish and poise."
6206f1c930ac,train,nevada_wwii,fwp_Mrs_Irene_Lake_Pianist,Chicago,Place,Q1297,"The Windy City|Chicago, IL|Chi-Raq|Chicago|Chi-Town|City by the Lake|Chitown|The Second City|City of Chicago|Chicago, Illinois","city and county seat of Cook County, and largest city in State of Illinois, United States of America","After graduating, my teacher secured me a scholarship at the Chicago Musical College. I received wonderful training there. Strange to say, in Chicago, I was thrown more with the theatrical element, rather than musicians. I met Joseph Jefferson, famous interpreter.","After graduating, my teacher secured me a scholarship at the Musical College. I received wonderful training there. Strange to say, in that Midwestern metropolis, I was thrown more with the theatrical element, rather than musicians. I met Joseph Jefferson, famous interpreter."
60ecdcab13f5,train,nevada_wwii,fwp_Mrs_Irene_Lake_Pianist,"Jacksonville, Florida",Place,Q16568,,"city in Duval County, and largest city in State of Florida, United States","I remember August 4, 1938, in Jacksonville, Florida. I was recording Mrs. Irene Lake, a pianist, at her home on Pearl Street. She was capturing old plantation songs. Jacksonville was so glamorous then, just before the War Between the States.","I remember August 4, 1938. I was recording Mrs. Irene Lake, a pianist, at her home on Pearl Street. She was capturing old plantation songs. The city was so glamorous then, just before the War Between the States."
756e4deb3c69,train,federal_writers_project,fwp_Mrs_Isabel_Barnwell,"Fernandina Beach, Florida",Place,Q1975746,,"city in Nassau County, Florida, United States","In May of '37, tragedy struck. My beloved son, a government aviation instructor, died in a glider accident. It happened right there on Fernandina Beach, Florida. Such a beautiful place, now forever marked by sorrow.","In May of '37, tragedy struck. My beloved son, a government aviation instructor, died in a glider accident. It happened right there in the place we called home on the northeast coast of Florida. Such a beautiful place, now forever marked by sorrow."
55f9ab974177,train,federal_writers_project,fwp_Mrs_Isabel_Barnwell,Georgia (U.S. state),Place,Q1428,,state of the United States of America,"My mother's family, the Gunbys, received their education in St. Marys, Georgia. Back then, Fernandina wasn't much, just a plantation. My parents married in St. Marys, Georgia, in November 1830. Later, we moved to Fernandina.","My mother's family, the Gunbys, received their education in St. Marys. Back then, Fernandina wasn't much, just a plantation. My parents married in St. Marys in November 1830. Later, we moved to Fernandina."
2cb5f6728d52,train,federal_writers_project,fwp_Mrs_Isabel_Barnwell,New York City,Place,Q60,"Caput Mundi|the five boroughs|Big Apple|New York City, NY|New York City, USA|City of New York|New York, New York, USA|New York (city)|Empire City|Capital of the World",most populous city in the United States,"To get a tutor for my sons, my father wrote to Lord and Taylor. They were a company he did business with in New York City. This was back in the late 1800s. Eventually, they sent us Mr. Lincoln from New York City, a cousin of Abraham Lincoln.","To get a tutor for my sons, my father wrote to Lord and Taylor. They were a company he did business with in that metropolis. This was back in the late 1800s. Eventually, they sent us Mr. Lincoln from there, a cousin of Abraham Lincoln."
077b2e5b4769,train,federal_writers_project,fwp_Mrs_Isabel_Barnwell,Harvard University,Organization,Q13371,"New College, Cambridge, Massachusetts|Kremlin on the Charles|Harvard Graduate School|Harvard university|Harvard|University of Harvard|Harvard U.|harvard.edu|Harvard Univ.|Harvard.edu","private university in Cambridge, Massachusetts","Mr. Lincoln and Mr. Seise prepared my brother James well. After their instruction in the late 1800s, Father sent him north. James went to Harvard University, you see. My other brother went to college in Schenectady, NY.","Mr. Lincoln and Mr. Seise prepared my brother James well. After their instruction in the late 1800s, Father sent him north. James went to that college in Cambridge, you see. My other brother went to college in Schenectady, NY."
e99d2431c727,train,federal_writers_project,fwp_Mrs_Janie_Bradberry_Harris,"Athens, Georgia",Place,Q203263,,"consolidated city-county and county seat of Clarke County, Georgia, United States","I married my husband, but we didn't have a wedding. Instead, we came to Athens, Georgia, and got married at my cousin's house. Her husband was a preacher there. Later, my husband worked for the Athens Railway and Electric Company.","I married my husband, but we didn't have a wedding. Instead, we came to a town in northeast Georgia and got married at my cousin's house. Her husband was a preacher there. Later, my husband worked for the local Railway and Electric Company."
087e736611cf,train,federal_writers_project,fwp_Mrs_Janie_Bradberry_Harris,Baptist,Organization,Q807087,,male given name,"Growing up in Clarke County, we always attended Sunday school. All my people are Baptist, so I joined Corinth Baptist Church when I was 14. I was baptized in Big Creek near the church. That was a big day for me back then.","Growing up in Clarke County, we always attended Sunday school. It's a family tradition, so I joined Corinth Church when I was 14. I was baptized in Big Creek near the church. That was a big day for me back then."
9fb57a927934,train,federal_writers_project,fwp_Mrs_John_L_Margaret_Pearson_Hall,"Jacksonville, Florida",Place,Q16568,,"city in Duval County, and largest city in State of Florida, United States","I remember seeing an old Jacksonville Tolerant newspaper from 1930. It mentioned how back in 1858, the saying was ""Keep Jacksonville money in Jacksonville, Florida."" Even then, Jacksonville, Florida was a city with banks and its own economy. My grandfather's bank was right there on Bay and Ocean Streets.","I remember seeing an old Tolerant newspaper from 1930. It mentioned how back in 1858, the saying was ""Keep the money in the city."" Even then, it was a city with banks and its own economy. My grandfather's bank was right there on Bay and Ocean Streets."
d40c53a5bc89,train,federal_writers_project,fwp_Mrs_John_L_Margaret_Pearson_Hall,Civil War,Event,Q8676,The Civil War|War Between the States|Civil War|War of Northern Aggression|US Civil War|U.S. Civil War|American Civil War|War of the Rebellion|United States Civil War,1861–1865 civil war in the United States between the North and the South over the enslavement of African-Americans,"My grandfather started a bank in Jacksonville in 1858. It was a modern establishment at the time. After the Civil War, though, the bank was closed. He paid every bill at face value out of pocket.","My grandfather started a bank in Jacksonville in 1858. It was a modern establishment at the time. After that great conflict, though, the bank was closed. He paid every bill at face value out of pocket."
